Id,city
1,2
3,1
4,2
6,1
9,1
10,2
12,2
14,1
18,3
19,2
20,2
21,2
24,7
25,2
32,1
33,1
36,1
39,2
44,7
47,2
48,2
51,1
54,2
55,2
58,2
59,2
60,7
61,2
64,5
68,2
72,3
77,1
79,7
80,5
82,7
85,2
95,2
96,2
101,1
103,1
104,1
106,1
108,1
112,1
116,1
117,1
118,1
119,1
120,1
124,2
133,2
136,2
138,3
141,1
154,2
157,2
158,2
160,2
161,7
163,1
167,1
173,2
176,5
179,1
181,7
182,7
183,2
191,2
192,6
193,1
194,2
195,2
197,6
198,7
203,3
204,1
206,1
209,7
212,2
